"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","17","10","904","134","21","4","0.13","958.94","37.623","7785.54","7470.032"
"3","17","11","939","130","22","3.1","0.13","1042.644","42.751","8257.094","7924.877"
"3","17","12","952","124","23","2.2","0.13","1050.119","47.559","8154.451","7825.871"
"3","17","13","926","124","24","1.7","0.13","965.532","49.033","7486.246","7181.343"
"3","17","14","895","111","24","1.8","0.13","815.789","44.742","6493.188","6223.473"
"3","17","15","510","161","23","1.8","0.13","474.792","35.09","3939.053","3759.841"
"3","17","16","636","83","20","1.6","0.13","328.532","28.658","2685.43","2550.639"
"3","17","17","277","39","17","1.6","0.13","76.972","18.866","478.575","421.981"
"3","17","18","0","0","15","1.7","0.13","0","15","0","0"
"3","17","19","0","0","14","1.8","0.13","0","14","0","0"
"3","17","20","0","0","13","2","0.13","0","13","0","0"
"3","17","21","0","0","13","2.1","0.13","0","13","0","0"
"3","17","22","0","0","12","2.2","0.13","0","12","0","0"
"3","17","23","0","0","12","2.3","0.13","0","12","0","0"
"3","18","0","0","0","12","2.3","0.13","0","12","0","0"
"3","18","1","0","0","11","2.3","0.13","0","11","0","0"
"3","18","2","0","0","11","2.4","0.13","0","11","0","0"
"3","18","3","0","0","11","2.6","0.13","0","11","0","0"
"3","18","4","0","0","11","2.8","0.13","0","11","0","0"
"3","18","5","0","0","11","3.1","0.13","0","11","0","0"
"3","18","6","298","34","14","3.8","0.13","72.944","15.17","439.505","384.296"
"3","18","7","665","71","17","4","0.13","322.397","22.551","2685.153","2550.372"
"3","18","8","823","88","20","3.3","0.13","582.031","31.275","4939.778","4725.106"
"3","18","9","901","97","23","2.2","0.13","797.785","41.709","6433.524","6165.923"
"3","18","10","950","99","24","1.2","0.13","958.878","51.868","7352.506","7052.342"
"3","18","11","966","101","25","1","0.13","1039.629","56.72","7772.116","7457.084"
"3","18","12","964","102","26","1.4","0.13","1039.761","54.8","7836.72","7519.398"
"3","18","13","933","106","25","1.7","0.13","953.924","49.734","7378.018","7076.949"
"3","18","14","892","99","24","1.7","0.13","797.287","44.71","6349.137","6084.526"
